期刊名称,类型,别名,ISSN,中国科协高质量期刊标签,FMS学科,FMS主办单位,FMS JCR排名
Journal of Consumer Marketing,期刊,,0736-3761,管理科学 C（2025总汇）,营销,,41
Journal of Global Marketing,期刊,,0891-1762,管理科学 C（2025总汇）,营销,,33
Journal of Macromarketing,期刊,,0276-1467,管理科学 C（2025总汇）,营销,,51
Journal of Marketing Management,期刊,,0267-257X,管理科学 C（2025总汇）,营销,,44
Journal of Marketing Theory and Practice,期刊,,1069-6679,管理科学 C（2025总汇）,营销,,23
Journal of Personal Selling and Sales Management,期刊,,0885-3134,管理科学 C（2025总汇）,营销,,40
Journal of Retailing and Consumer Services,期刊,,0969-6989,管理科学 C（2025总汇）,营销,,1
Journal of Service Management,期刊,,1757-5818,管理科学 C（2025总汇）,营销,,7
Journal of Service Theory and Practice,期刊,,2055-6225,管理科学 C（2025总汇）,营销,,32
Journal of Services Marketing,期刊,,0887-6045,管理科学 C（2025总汇）,营销,,31
Journal of Strategic Marketing,期刊,,0965-254X,管理科学 C（2025总汇）,营销,,43
Service Industries Journal,期刊,,0264-2069,管理科学 C（2025总汇）,营销,,12
Advances in International Marketing,期刊,,1474-7979,管理科学 D（2025总汇）,营销,,60
Australasian Marketing Journal,期刊,,1441-3582,管理科学 D（2025总汇）,营销,,39
Corporate Reputation Review,期刊,,1363-3589,管理科学 D（2025总汇）,营销,,55
International Journal of Bank Marketing,期刊,,0265-2323,管理科学 D（2025总汇）,营销,,14
International Journal of Internet Marketing and Advertising,期刊,,1477-5212,管理科学 D（2025总汇）,营销,,54
"International Review of Retail, Distribution and Consumer Research",期刊,,0959-3969,管理科学 D（2025总汇）,营销,,44
International Review on Public and Nonprofit Marketing,期刊,,1865-1984,管理科学 D（2025总汇）,营销,,53
Journal of Consumer Policy,期刊,,0168-7034,管理科学 D（2025总汇）,营销,,55
Journal of Customer Behaviour,期刊,,1475-3928,管理科学 D（2025总汇）,营销,,60
Journal of Financial Services Marketing,期刊,,1363-0539,管理科学 D（2025总汇）,营销,,33
Journal of Inter-Organizational Relationships,期刊,,2694-3980,管理科学 D（2025总汇）,营销,,59
Journal of Marketing Communications,期刊,,1352-7266,管理科学 D（2025总汇）,营销,,29
Journal of Product and Brand Management,期刊,,1061-0421,管理科学 D（2025总汇）,营销,,19
Journal of Relationship Marketing,期刊,,1533-2667,管理科学 D（2025总汇）,营销,,60
Marketing Intelligence and Planning,期刊,,0263-4503,管理科学 D（2025总汇）,营销,,22
Qualitative Market Research,期刊,,1352-2752,管理科学 D（2025总汇）,营销,,47
Review of Marketing Science,期刊,,1546-5616,管理科学 D（2025总汇）,营销,,60
Service Business,期刊,,1862-8516,管理科学 D（2025总汇）,营销,,37
INFORMS Journal on Computing,期刊,,1091-9856,管理科学 A（2025总汇）,运筹与管理,,30
Mathematical Programming,期刊,,0025-5610,管理科学 A（2025总汇）,运筹与管理,,23
Mathematics of Operations Research,期刊,,0364-765X,管理科学 A（2025总汇）,运筹与管理,,35
Operations Research,期刊,,0030-364X,管理科学 A（2025总汇）,运筹与管理,,20
ACM Transactions on Modeling and Computer Simulation,期刊,,1049-3301,管理科学 B（2025总汇）,运筹与管理,,35
Annals of Operations Research,期刊,,0254-5330,管理科学 B（2025总汇）,运筹与管理,,8
Computers & Industrial Engineering,期刊,,0360-8352,管理科学 B（2025总汇）,运筹与管理,,7
Computers & Operations Research,期刊,,0305-0548,管理科学 B（2025总汇）,运筹与管理,,11
Decision Analysis,期刊,,1545-8490,管理科学 B（2025总汇）,运筹与管理,,47
Decision Sciences,期刊,,0011-7315,管理科学 B（2025总汇）,运筹与管理,,23
Group Decision and Negotiation,期刊,,0926-2644,管理科学 B（2025总汇）,运筹与管理,,23
IEEE Transactions on Cybernetics,期刊,,2168-2267,管理科学 B（2025总汇）,运筹与管理,,2
IEEE Transactions on Evolutionary Computation,期刊,,1089-778X,管理科学 B（2025总汇）,运筹与管理,,1
"IEEE Transactions on Systems, Man and Cybernetics: Systems",期刊,,2168-2216,管理科学 B（2025总汇）,运筹与管理,,3
INFORMS Journal on Applied Analytics,期刊,,2644-0865,管理科学 B（2025总汇）,运筹与管理,,39
INFORMS Journal on Optimization,期刊,,2575-1484,管理科学 B（2025总汇）,运筹与管理,,57
International Journal of Forecasting,期刊,,0169-2070,管理科学 B（2025总汇）,运筹与管理,,6
International Journal of Information Technology & Decision Making,期刊,,0219-6220,管理科学 B（2025总汇）,运筹与管理,,39
Journal of Global Optimization,期刊,,0925-5001,管理科学 B（2025总汇）,运筹与管理,,44
Journal of Heuristics,期刊,,1381-1231,管理科学 B（2025总汇）,运筹与管理,,50
Journal of Management Science and Engineering,期刊,,2096-2320,管理科学 B（2025总汇）,运筹与管理,,12
Journal of Optimization Theory and Applications,期刊,,0022-3239,管理科学 B（2025总汇）,运筹与管理,,47
Journal of Scheduling,期刊,,1094-6136,管理科学 B（2025总汇）,运筹与管理,,39
Journal of the Operational Research Society,期刊,,0160-5682,管理科学 B（2025总汇）,运筹与管理,,18
Judgment and Decision Making,期刊,,1930-2975,管理科学 B（2025总汇）,运筹与管理,,35
Naval Research Logistics,期刊,,0894-069X,管理科学 B（2025总汇）,运筹与管理,,30
Omega,期刊,,0305-0483,管理科学 B（2025总汇）,运筹与管理,,5
Operations Research Letters,期刊,,0167-6377,管理科学 B（2025总汇）,运筹与管理,,56
OR Spectrum,期刊,,0171-6468,管理科学 B（2025总汇）,运筹与管理,,35
SIAM Journal on Computing,期刊,,0097-5397,管理科学 B（2025总汇）,运筹与管理,,45
SIAM Journal on Optimization,期刊,,1052-6234,管理科学 B（2025总汇）,运筹与管理,,28
4OR,期刊,,1619-4500,管理科学 C（2025总汇）,运筹与管理,,20
Asia-Pacific Journal of Operational Research,期刊,,0217-5959,管理科学 C（2025总汇）,运筹与管理,,54
Computational Optimization and Applications,期刊,,0926-6003,管理科学 C（2025总汇）,运筹与管理,,33
Decision,期刊,,0304-0941,管理科学 C（2025总汇）,运筹与管理,,54
Evolutionary Computation,期刊,,1063-6560,管理科学 C（2025总汇）,运筹与管理,,13
Flexible Services and Manufacturing Journal,期刊,,1936-6582,管理科学 C（2025总汇）,运筹与管理,,14
Fuzzy Optimization and Decision Making,期刊,,1568-4539,管理科学 C（2025总汇）,运筹与管理,,4
Grey Systems:Theory and Application,期刊,,2043-9377,管理科学 C（2025总汇）,运筹与管理,,10
International Journal of General Systems,期刊,,0308-1079,管理科学 C（2025总汇）,运筹与管理,,15
International Journal of Management Science and Engineering Management,期刊,,1750-9653,管理科学 C（2025总汇）,运筹与管理,,20
International Transactions in Operational Research,期刊,,0969-6016,管理科学 C（2025总汇）,运筹与管理,,15
Journal of Forecasting,期刊,,0277-6693,管理科学 C（2025总汇）,运筹与管理,,18
Journal of Grey System,期刊,,0957-3720,管理科学 C（2025总汇）,运筹与管理,,47
Journal of Management Analytics,期刊,,2327-0012,管理科学 C（2025总汇）,运筹与管理,,8
Journal of Systems Engineering and Electronics,期刊,,1004-4132,管理科学 C（2025总汇）,运筹与管理,,30
Journal of Systems Science and Complexity,期刊,,1009-6124,管理科学 C（2025总汇）,运筹与管理,,17
Journal of Systems Science and Systems Engineering,期刊,,1004-3756,管理科学 C（2025总汇）,运筹与管理,,33
Journal of the Operations Research Society of China,期刊,,2194-668X,管理科学 C（2025总汇）,运筹与管理,,53
Mathematical Methods of Operations Research,期刊,,1432-2994,管理科学 C（2025总汇）,运筹与管理,,52
Stochastic Systems,期刊,,1946-5238,管理科学 C（2025总汇）,运筹与管理,,57
System Dynamics Review,期刊,,0883-7066,管理科学 C（2025总汇）,运筹与管理,,23
Systems Research and Behavioral Science,期刊,,1092-7026,管理科学 C（2025总汇）,运筹与管理,,39
Central European Journal of Operations Research,期刊,,1435-246X,管理科学 D（2025总汇）,运筹与管理,,28
Computational Management Science,期刊,,1619-697X,管理科学 D（2025总汇）,运筹与管理,,51
INFOR,期刊,,0315-5986,管理科学 D（2025总汇）,运筹与管理,,45
International Journal of Operations and Quantitative Management,期刊,,1082-1910,管理科学 D（2025总汇）,运筹与管理,,57
"Journal of Data, Information and Management",期刊,,2524-6356,管理科学 D（2025总汇）,运筹与管理,,57
Journal of Multi-Criteria Decision Analysis,期刊,,1057-9214,管理科学 D（2025总汇）,运筹与管理,,27
Journal of Systems Science and Information,期刊,,1478-9906,管理科学 D（2025总汇）,运筹与管理,,57
Optimization,期刊,,0233-1934,管理科学 D（2025总汇）,运筹与管理,,39
Journal of Operations Management,期刊,,0272-6963,管理科学 A（2025总汇）,运营管理,,1
Manufacturing & Service Operations Management,期刊,,1523-4614,管理科学 A（2025总汇）,运营管理,,20
Production and Operations Management,期刊,,1059-1478,管理科学 A（2025总汇）,运营管理,,15
International Journal of Operations & Production Management,期刊,,0144-3577,管理科学 B（2025总汇）,运营管理,,6
International Journal of Physical Distribution & Logistics Management,期刊,,0960-0035,管理科学 B（2025总汇）,运营管理,,8
International Journal of Production Economics,期刊,,0925-5273,管理科学 B（2025总汇）,运营管理,,2
International Journal of Production Research,期刊,,0020-7543,管理科学 B（2025总汇）,运营管理,,8
Journal of Business Logistics,期刊,,0735-3766,管理科学 B（2025总汇）,运营管理,,6
Journal of Purchasing and Supply Management,期刊,,1478-4092,管理科学 B（2025总汇）,运营管理,,4
Journal of Supply Chain Management,期刊,,1523-2409,管理科学 B（2025总汇）,运营管理,,3
Production Planning and Control,期刊,,0953-7287,管理科学 B（2025总汇）,运营管理,,14
Service Science,期刊,,2164-3962,管理科学 B（2025总汇）,运营管理,,27
Supply Chain Management,期刊,,1359-8546,管理科学 B（2025总汇）,运营管理,,5
International Journal of Logistics Management,期刊,,0957-4093,管理科学 C（2025总汇）,运营管理,,11
International Journal of Logistics Research and Applications,期刊,,1367-5567,管理科学 C（2025总汇）,运营管理,,16
Journal of Manufacturing Technology Management,期刊,,1741-038X,管理科学 D（2025总汇）,运营管理,,13
Modern Supply Chain Research and Applications,期刊,,2631-3871,管理科学 D（2025总汇）,运营管理,,28
TQM Journal,期刊,,1754-2731,管理科学 D（2025总汇）,运营管理,,18
Strategic Management Journal,期刊,,0143-2095,管理科学 A（2025总汇）,战略管理,,10
Global Strategy Journal,期刊,,2042-5791,管理科学 B（2025总汇）,战略管理,,17
Long Range Planning,期刊,,0024-6301,管理科学 B（2025总汇）,战略管理,,12
Strategic Organization,期刊,,1476-1270,管理科学 B（2025总汇）,战略管理,,22
Strategy Science,期刊,,2333-2050,管理科学 B（2025总汇）,战略管理,,23
Advances in Strategic Management,期刊,,0742-3322,管理科学 C（2025总汇）,战略管理,,28
Benchmarking,期刊,,1463-5771,管理科学 C（2025总汇）,战略管理,,18
Business Strategy Review,期刊,,0955-6419,管理科学 C（2025总汇）,战略管理,,28
Journal of Business Strategy,期刊,,0275-6668,管理科学 C（2025总汇）,战略管理,,28
M@n@gement,期刊,,1286-4692,管理科学 C（2025总汇）,战略管理,,26
Journal of Change Management,期刊,,1469-7017,管理科学 D（2025总汇）,战略管理,,25
Journal of Strategy and Management,期刊,,1755-425X,管理科学 D（2025总汇）,战略管理,,24
Strategic Change,期刊,,1099-1697,管理科学 D（2025总汇）,战略管理,,21
Strategy & Leadership,期刊,,1087-8572,管理科学 D（2025总汇）,战略管理,,28
Journal of Environmental Economics and Management,期刊,,0095-0696,管理科学 A（2025总汇）,资源环境管理,,10
Climate Policy,期刊,,1469-3062,管理科学 B（2025总汇）,资源环境管理,,14
Ecological Economics,期刊,,0921-8009,管理科学 B（2025总汇）,资源环境管理,,9
Energy Economics,期刊,,0140-9883,管理科学 B（2025总汇）,资源环境管理,,1
Energy Journal,期刊,,0195-6574,管理科学 B（2025总汇）,资源环境管理,,31
Energy Policy,期刊,,0301-4215,管理科学 B（2025总汇）,资源环境管理,,4
Environment and Development Economics,期刊,,1355-770X,管理科学 B（2025总汇）,资源环境管理,,37
Environment and Planning A: Economy and Space,期刊,,0308-518X,管理科学 B（2025总汇）,资源环境管理,,19
Environment and Planning B: Urban Analytics and City Science,期刊,,2399-8091,管理科学 B（2025总汇）,资源环境管理,,26
Environment and Planning D: Society and Space,期刊,,0263-7758,管理科学 B（2025总汇）,资源环境管理,,30
Environmental and Resource Economics,期刊,,0924-6460,管理科学 B（2025总汇）,资源环境管理,,22
Environmental Science & Policy,期刊,,1462-9011,管理科学 B（2025总汇）,资源环境管理,,14
Global Environmental Change,期刊,,0959-3780,管理科学 B（2025总汇）,资源环境管理,,5
Journal of Environmental Planning and Management,期刊,,0964-0568,管理科学 B（2025总汇）,资源环境管理,,20
Journal of Industrial Ecology,期刊,,1088-1980,管理科学 B（2025总汇）,资源环境管理,,13
Journal of the Association of Environmental and Resource Economists,期刊,,2333-5955,管理科学 B（2025总汇）,资源环境管理,,24
Land Economics,期刊,,0023-7639,管理科学 B（2025总汇）,资源环境管理,,36
Resource and Energy Economics,期刊,,0928-7655,管理科学 B（2025总汇）,资源环境管理,,26
Review of Environmental Economics and Policy,期刊,,1750-6816,管理科学 B（2025总汇）,资源环境管理,,8
Water Resources Research,期刊,,0043-1397,管理科学 B（2025总汇）,资源环境管理,,16
Annual Review of Resource Economics,期刊,,1941-1340,管理科学 C（2025总汇）,资源环境管理,,6
Australasian Journal of Environmental Management,期刊,,1448-6563,管理科学 C（2025总汇）,资源环境管理,,37
Carbon Management,期刊,,1758-3004,管理科学 C（2025总汇）,资源环境管理,,24
Climate Change Economics,期刊,,2010-0078,管理科学 C（2025总汇）,资源环境管理,,31
Economics of Energy and Environmental Policy,期刊,,2160-5882,管理科学 C（2025总汇）,资源环境管理,,39
"Energy, Ecology and Environment",期刊,,2363-7692,管理科学 C（2025总汇）,资源环境管理,,20
Environment and Planning C: Politics and Space,期刊,,2399-6552,管理科学 C（2025总汇）,资源环境管理,,33
Journal of Environmental Management,期刊,,0301-4797,管理科学 C（2025总汇）,资源环境管理,,6
Journal of Forest Economics,期刊,,1104-6899,管理科学 C（2025总汇）,资源环境管理,,40
Land Use Policy,期刊,,0264-8377,管理科学 C（2025总汇）,资源环境管理,,10
"Chinese Journal of Population, Resources and Environment",期刊,,2325-4262,管理科学 D（2025总汇）,资源环境管理,,18
Energy and Climate Change,期刊,,2666-2787,管理科学 D（2025总汇）,资源环境管理,,12
Environmental and Ecological Statistics,期刊,,1352-8505,管理科学 D（2025总汇）,资源环境管理,,35
Environmental Economics and Policy Studies,期刊,,1432-847X,管理科学 D（2025总汇）,资源环境管理,,34
Environmental Impact Assessment Review,期刊,,0195-9255,管理科学 D（2025总汇）,资源环境管理,,2
Environmental Modeling & Assessment,期刊,,1420-2026,管理科学 D（2025总汇）,资源环境管理,,29
"International Environmental Agreements : Politics , Law and Economics",期刊,,1567-9764,管理科学 D（2025总汇）,资源环境管理,,26
International Journal of Energy Sector Management,期刊,,1750-6220,管理科学 D（2025总汇）,资源环境管理,,23
Journal of Cleaner Production,期刊,,0959-6526,管理科学 D（2025总汇）,资源环境管理,,3
Sustainable Futures,期刊,,2666-1888,管理科学 D（2025总汇）,资源环境管理,,17
Journal of Organizational Behavior,期刊,,0894-3796,管理科学 A（2025总汇）,组织管理,,4
Organization Science,期刊,,1047-7039,管理科学 A（2025总汇）,组织管理,,5
Organization Studies,期刊,,0170-8406,管理科学 A（2025总汇）,组织管理,,7
Gender Work and Organization,期刊,,1468-0432,管理科学 B（2025总汇）,组织管理,,13
Group & Organization Management,期刊,,1059-6011,管理科学 B（2025总汇）,组织管理,,10
Human Relations,期刊,,0018-7267,管理科学 B（2025总汇）,组织管理,,5
Leadership Quarterly,期刊,,1048-9843,管理科学 B（2025总汇）,组织管理,,1
Management and Organization Review,期刊,,1740-8776,管理科学 B（2025总汇）,组织管理,,13
Management Learning,期刊,,1350-5076,管理科学 B（2025总汇）,组织管理,,13
Organization,期刊,,1350-5084,管理科学 B（2025总汇）,组织管理,,12
Organization & Environment,期刊,,1086-0266,管理科学 B（2025总汇）,组织管理,,3
Organizational Research Methods,期刊,,1094-4281,管理科学 B（2025总汇）,组织管理,,2
Research in Organizational Behavior,期刊,,0191-3085,管理科学 B（2025总汇）,组织管理,,8
European Journal of Work and Organizational Psychology,期刊,,1359-432X,管理科学 C（2025总汇）,组织管理,,9
Group Processes & Intergroup Relations,期刊,,1368-4302,管理科学 C（2025总汇）,组织管理,,21
Human Factors,期刊,,0018-7208,管理科学 C（2025总汇）,组织管理,,10
Journal of Applied Behavioral Science,期刊,,0021-8863,管理科学 C（2025总汇）,组织管理,,19
Journal of Organizational Behavior Management,期刊,,0160-8061,管理科学 C（2025总汇）,组织管理,,25
Journal of Organizational Change Management,期刊,,0953-4814,管理科学 C（2025总汇）,组织管理,,16
Journal of Professions and Organization,期刊,,2051-8803,管理科学 C（2025总汇）,组织管理,,22
Management Communication Quarterly,期刊,,0893-3189,管理科学 C（2025总汇）,组织管理,,19
Negotiation Journal,期刊,,0748-4526,管理科学 C（2025总汇）,组织管理,,26
Organizational Dynamics,期刊,,0090-2616,管理科学 C（2025总汇）,组织管理,,18
Culture and Organization,期刊,,1475-9551,管理科学 D（2025总汇）,组织管理,,24
Leadership,期刊,,1742-7150,管理科学 D（2025总汇）,组织管理,,22
Learning Organization,期刊,,0969-6474,管理科学 D（2025总汇）,组织管理,,16
